ID;Nome;Data_Entrada;Status;Promovido;Setor
5030;Colaborador_5030;2025-04-06;Ativo;Sim;Triagem
5031;Colaborador_5031;2026-01-22;Desligado;Não;Reverso (DV)
5032;Colaborador_5032;2026-02-07;Desligado;Não;Expedição
5033;Colaborador_5033;2025-06-18;Ativo;Não;Expedição
5034;Colaborador_5034;2026-03-01;Ativo;Não;Recebimento
5035;Colaborador_5035;2025-12-24;Ativo;Não;Reverso (DV)
5036;Colaborador_5036;2025-12-24;Desligado;Não;Expedição
5037;Colaborador_5037;2025-12-14;Ativo;Não;Expedição
5038;Colaborador_5038;2025-12-24;Ativo;Não;Recebimento
5039;Colaborador_5039;2026-01-30;Ativo;Não;Reverso (DV)
5040;Colaborador_5040;2025-06-01;Ativo;Não;Recebimento
5041;Colaborador_5041;2025-09-15;Desligado;Sim;Expedição
5042;Colaborador_5042;2026-03-24;Ativo;Sim;Triagem
5043;Colaborador_5043;2025-10-10;Ativo;Não;Reverso (DV)
5044;Colaborador_5044;2025-06-18;Ativo;Não;Recebimento
5045;Colaborador_5045;2025-09-12;Desligado;Não;Expedição
5046;Colaborador_5046;2026-02-23;Ativo;Não;Triagem
5047;Colaborador_5047;2025-01-12;Ativo;Não;Reverso (DV)
5048;Colaborador_5048;2025-01-03;Ativo;Não;Recebimento
5049;Colaborador_5049;2026-03-20;Ativo;Sim;Reverso (DV)
5050;Colaborador_5050;2026-03-12;Desligado;Não;Triagem
5051;Colaborador_5051;2025-10-10;Desligado;Não;Expedição
5052;Colaborador_5052;2026-02-05;Ativo;Não;Triagem
5053;Colaborador_5053;2025-09-28;Ativo;Não;Reverso (DV)
5054;Colaborador_5054;2025-01-15;Desligado;Não;Expedição
5055;Colaborador_5055;2025-11-27;Ativo;Sim;Triagem
5056;Colaborador_5056;2025-01-14;Ativo;Não;Reverso (DV)
5057;Colaborador_5057;2025-08-02;Desligado;Não;Triagem
5058;Colaborador_5058;2025-10-06;Ativo;Não;Triagem
5059;Colaborador_5059;2026-02-16;Ativo;Não;Triagem
5060;Colaborador_5060;2026-03-04;Ativo;Não;Recebimento
5061;Colaborador_5061;2025-01-01;Ativo;Não;Reverso (DV)
5062;Colaborador_5062;2026-02-15;Ativo;Não;Expedição
5063;Colaborador_5063;2025-11-02;Ativo;Não;Triagem
5064;Colaborador_5064;2026-03-07;Ativo;Não;Recebimento
5065;Colaborador_5065;2026-03-24;Ativo;Não;Recebimento
5066;Colaborador_5066;2026-02-13;Ativo;Não;Triagem
5067;Colaborador_5067;2025-10-01;Ativo;Não;Expedição
5068;Colaborador_5068;2025-11-29;Ativo;Não;Recebimento
5069;Colaborador_5069;2025-08-11;Ativo;Não;Expedição
5070;Colaborador_5070;2025-03-09;Ativo;Sim;Reverso (DV)
5071;Colaborador_5071;2025-08-25;Ativo;Não;Triagem
5072;Colaborador_5072;2025-08-25;Ativo;Não;Recebimento
5073;Colaborador_5073;2025-01-16;Ativo;Não;Triagem
5074;Colaborador_5074;2025-06-04;Desligado;Não;Reverso (DV)
5075;Colaborador_5075;2025-08-19;Ativo;Não;Reverso (DV)
5076;Colaborador_5076;2025-06-28;Desligado;Não;Expedição
5077;Colaborador_5077;2025-10-14;Ativo;Não;Expedição
5078;Colaborador_5078;2025-08-18;Ativo;Sim;Reverso (DV)
5079;Colaborador_5079;2025-07-24;Ativo;Não;Triagem
5080;Colaborador_5080;2026-03-24;Ativo;Não;Expedição
5081;Colaborador_5081;2026-02-04;Desligado;Não;Reverso (DV)
5082;Colaborador_5082;2026-03-22;Ativo;Não;Recebimento
5083;Colaborador_5083;2026-02-17;Ativo;Não;Recebimento
5084;Colaborador_5084;2025-06-11;Ativo;Não;Expedição
5085;Colaborador_5085;2025-07-13;Ativo;Não;Expedição
5086;Colaborador_5086;2025-10-30;Ativo;Não;Triagem
5087;Colaborador_5087;2025-03-08;Desligado;Não;Expedição
5088;Colaborador_5088;2026-02-27;Ativo;Sim;Reverso (DV)
5089;Colaborador_5089;2025-03-21;Ativo;Não;Expedição
5090;Colaborador_5090;2025-02-20;Ativo;Sim;Triagem
5091;Colaborador_5091;2025-09-17;Ativo;Sim;Reverso (DV)
5092;Colaborador_5092;2025-04-23;Ativo;Não;Triagem
5093;Colaborador_5093;2025-02-26;Ativo;Não;Triagem
5094;Colaborador_5094;2026-03-24;Ativo;Não;Expedição
5095;Colaborador_5095;2025-05-14;Ativo;Sim;Reverso (DV)
5096;Colaborador_5096;2025-04-11;Ativo;Sim;Recebimento
5097;Colaborador_5097;2025-11-10;Ativo;Não;Recebimento
5098;Colaborador_5098;2025-02-03;Ativo;Sim;Reverso (DV)
5099;Colaborador_5099;2025-07-16;Desligado;Não;Expedição
5100;Colaborador_5100;2025-06-26;Ativo;Não;Recebimento
5101;Colaborador_5101;2025-03-21;Desligado;Não;Triagem
5102;Colaborador_5102;2025-06-02;Ativo;Não;Expedição
5103;Colaborador_5103;2025-10-19;Ativo;Não;Reverso (DV)
5104;Colaborador_5104;2025-05-27;Ativo;Não;Reverso (DV)
5105;Colaborador_5105;2025-04-28;Ativo;Sim;Expedição
5106;Colaborador_5106;2025-06-19;Ativo;Não;Reverso (DV)
5107;Colaborador_5107;2025-06-02;Ativo;Não;Reverso (DV)
5108;Colaborador_5108;2025-08-12;Ativo;Não;Reverso (DV)
5109;Colaborador_5109;2025-09-15;Desligado;Não;Expedição
5110;Colaborador_5110;2025-10-24;Ativo;Sim;Triagem
5111;Colaborador_5111;2025-06-07;Ativo;Não;Expedição
5112;Colaborador_5112;2025-11-27;Ativo;Não;Reverso (DV)
5113;Colaborador_5113;2025-06-05;Ativo;Não;Triagem
5114;Colaborador_5114;2026-01-23;Ativo;Não;Expedição
5115;Colaborador_5115;2025-12-12;Ativo;Não;Expedição
5116;Colaborador_5116;2025-09-18;Ativo;Sim;Recebimento
5117;Colaborador_5117;2025-10-24;Ativo;Sim;Expedição
5118;Colaborador_5118;2026-01-03;Ativo;Não;Expedição
5119;Colaborador_5119;2026-03-04;Ativo;Não;Reverso (DV)
5120;Colaborador_5120;2025-08-07;Ativo;Não;Reverso (DV)
5121;Colaborador_5121;2025-03-28;Ativo;Não;Expedição
5122;Colaborador_5122;2025-04-27;Ativo;Não;Triagem
5123;Colaborador_5123;2025-07-17;Desligado;Não;Expedição
5124;Colaborador_5124;2025-02-13;Ativo;Não;Triagem
5125;Colaborador_5125;2026-02-28;Ativo;Sim;Expedição
5126;Colaborador_5126;2025-10-11;Ativo;Não;Triagem
5127;Colaborador_5127;2026-01-03;Desligado;Não;Reverso (DV)
5128;Colaborador_5128;2025-01-05;Ativo;Sim;Expedição
5129;Colaborador_5129;2025-03-06;Ativo;Não;Reverso (DV)
5130;Colaborador_5130;2025-09-22;Desligado;Sim;Expedição
5131;Colaborador_5131;2025-12-20;Desligado;Não;Expedição
5132;Colaborador_5132;2025-06-25;Desligado;Sim;Recebimento
5133;Colaborador_5133;2025-10-02;Ativo;Não;Triagem
5134;Colaborador_5134;2025-03-20;Ativo;Não;Triagem
5135;Colaborador_5135;2026-01-14;Ativo;Não;Triagem
5136;Colaborador_5136;2025-09-30;Ativo;Não;Recebimento
5137;Colaborador_5137;2025-08-30;Ativo;Não;Recebimento
5138;Colaborador_5138;2025-02-06;Ativo;Não;Triagem
5139;Colaborador_5139;2025-10-11;Desligado;Não;Triagem
5140;Colaborador_5140;2025-01-30;Ativo;Não;Expedição
5141;Colaborador_5141;2025-02-03;Ativo;Não;Recebimento
5142;Colaborador_5142;2025-12-25;Ativo;Não;Expedição
5143;Colaborador_5143;2025-05-26;Desligado;Não;Expedição
5144;Colaborador_5144;2025-08-31;Ativo;Sim;Triagem
5145;Colaborador_5145;2025-05-08;Desligado;Não;Recebimento
5146;Colaborador_5146;2025-02-15;Ativo;Não;Triagem
5147;Colaborador_5147;2025-11-02;Ativo;Sim;Expedição
5148;Colaborador_5148;2026-02-26;Ativo;Não;Reverso (DV)
5149;Colaborador_5149;2025-06-21;Ativo;Sim;Triagem
5150;Colaborador_5150;2025-05-24;Ativo;Não;Recebimento
5151;Colaborador_5151;2025-12-13;Ativo;Não;Reverso (DV)
5152;Colaborador_5152;2025-01-05;Ativo;Não;Recebimento
5153;Colaborador_5153;2025-06-22;Ativo;Não;Recebimento
5154;Colaborador_5154;2025-11-25;Ativo;Não;Triagem
5155;Colaborador_5155;2025-01-06;Ativo;Não;Triagem
5156;Colaborador_5156;2025-10-07;Ativo;Não;Recebimento
5157;Colaborador_5157;2025-09-24;Ativo;Não;Expedição
5158;Colaborador_5158;2026-02-03;Desligado;Sim;Reverso (DV)
5159;Colaborador_5159;2026-03-19;Ativo;Não;Expedição
5160;Colaborador_5160;2026-01-12;Ativo;Não;Triagem
5161;Colaborador_5161;2026-01-20;Desligado;Não;Triagem
5162;Colaborador_5162;2026-02-03;Ativo;Não;Expedição
5163;Colaborador_5163;2025-05-15;Ativo;Não;Reverso (DV)
5164;Colaborador_5164;2025-09-04;Ativo;Não;Reverso (DV)
5165;Colaborador_5165;2025-03-10;Ativo;Não;Reverso (DV)
5166;Colaborador_5166;2026-02-04;Ativo;Não;Recebimento
5167;Colaborador_5167;2026-02-27;Ativo;Sim;Recebimento
5168;Colaborador_5168;2025-10-29;Ativo;Não;Triagem
5169;Colaborador_5169;2025-11-22;Ativo;Sim;Reverso (DV)
5170;Colaborador_5170;2025-12-23;Ativo;Não;Reverso (DV)
5171;Colaborador_5171;2025-07-29;Ativo;Sim;Triagem
5172;Colaborador_5172;2025-03-02;Ativo;Sim;Reverso (DV)
5173;Colaborador_5173;2025-03-06;Ativo;Não;Expedição
5174;Colaborador_5174;2025-02-14;Ativo;Não;Reverso (DV)
5175;Colaborador_5175;2025-04-07;Ativo;Não;Recebimento
5176;Colaborador_5176;2025-10-07;Ativo;Não;Reverso (DV)
5177;Colaborador_5177;2025-12-08;Ativo;Não;Triagem
5178;Colaborador_5178;2025-06-23;Ativo;Não;Recebimento
5179;Colaborador_5179;2025-01-01;Ativo;Não;Reverso (DV)
5180;Colaborador_5180;2026-03-12;Desligado;Não;Reverso (DV)
5181;Colaborador_5181;2026-03-10;Ativo;Sim;Recebimento
5182;Colaborador_5182;2026-02-13;Ativo;Não;Recebimento
5183;Colaborador_5183;2025-07-19;Desligado;Não;Reverso (DV)
5184;Colaborador_5184;2025-11-20;Ativo;Sim;Recebimento
5185;Colaborador_5185;2025-03-06;Ativo;Sim;Triagem
5186;Colaborador_5186;2025-07-07;Desligado;Não;Expedição
5187;Colaborador_5187;2025-11-10;Ativo;Não;Expedição
5188;Colaborador_5188;2025-07-11;Ativo;Não;Triagem
5189;Colaborador_5189;2025-01-05;Desligado;Não;Reverso (DV)
5190;Colaborador_5190;2026-01-13;Ativo;Não;Triagem
5191;Colaborador_5191;2025-01-29;Desligado;Não;Recebimento
5192;Colaborador_5192;2025-03-06;Ativo;Sim;Recebimento
5193;Colaborador_5193;2025-11-06;Desligado;Não;Recebimento
5194;Colaborador_5194;2025-04-14;Ativo;Sim;Reverso (DV)
5195;Colaborador_5195;2026-02-13;Ativo;Não;Expedição
5196;Colaborador_5196;2026-01-15;Ativo;Sim;Recebimento
5197;Colaborador_5197;2025-07-14;Ativo;Não;Triagem
5198;Colaborador_5198;2025-12-02;Ativo;Não;Expedição
5199;Colaborador_5199;2025-03-04;Ativo;Sim;Expedição
5200;Colaborador_5200;2025-12-30;Ativo;Não;Triagem
5201;Colaborador_5201;2025-04-08;Ativo;Sim;Reverso (DV)
5202;Colaborador_5202;2025-01-24;Ativo;Não;Expedição
5203;Colaborador_5203;2025-04-12;Desligado;Não;Triagem
5204;Colaborador_5204;2025-12-15;Ativo;Não;Triagem
5205;Colaborador_5205;2025-03-20;Ativo;Não;Expedição
5206;Colaborador_5206;2025-06-02;Ativo;Sim;Recebimento
5207;Colaborador_5207;2025-08-16;Ativo;Não;Reverso (DV)
5208;Colaborador_5208;2025-09-30;Ativo;Sim;Triagem
5209;Colaborador_5209;2025-09-03;Ativo;Não;Expedição
5210;Colaborador_5210;2025-04-04;Desligado;Sim;Expedição
5211;Colaborador_5211;2025-03-27;Desligado;Não;Recebimento
5212;Colaborador_5212;2026-03-11;Ativo;Não;Expedição
5213;Colaborador_5213;2025-05-09;Desligado;Não;Recebimento
5214;Colaborador_5214;2025-05-02;Desligado;Não;Recebimento
5215;Colaborador_5215;2025-09-25;Ativo;Não;Triagem
5216;Colaborador_5216;2025-05-19;Desligado;Não;Triagem
5217;Colaborador_5217;2025-07-02;Ativo;Não;Reverso (DV)
5218;Colaborador_5218;2025-09-27;Ativo;Não;Recebimento
5219;Colaborador_5219;2025-10-10;Desligado;Sim;Recebimento
5220;Colaborador_5220;2025-11-06;Ativo;Não;Expedição
5221;Colaborador_5221;2026-02-07;Ativo;Não;Expedição
5222;Colaborador_5222;2025-06-30;Ativo;Não;Reverso (DV)
5223;Colaborador_5223;2026-02-16;Desligado;Não;Expedição
5224;Colaborador_5224;2026-01-24;Desligado;Não;Expedição
5225;Colaborador_5225;2025-01-31;Desligado;Não;Triagem
5226;Colaborador_5226;2025-08-03;Ativo;Não;Expedição
5227;Colaborador_5227;2025-10-01;Desligado;Não;Triagem
5228;Colaborador_5228;2025-04-08;Ativo;Não;Triagem
5229;Colaborador_5229;2025-12-08;Desligado;Não;Reverso (DV)
5230;Colaborador_5230;2025-04-14;Desligado;Não;Reverso (DV)
5231;Colaborador_5231;2025-08-06;Desligado;Não;Recebimento
5232;Colaborador_5232;2025-06-18;Ativo;Sim;Triagem
5233;Colaborador_5233;2025-02-20;Desligado;Sim;Expedição
5234;Colaborador_5234;2025-10-29;Ativo;Sim;Expedição
5235;Colaborador_5235;2026-01-18;Ativo;Não;Reverso (DV)
5236;Colaborador_5236;2025-06-08;Ativo;Sim;Triagem
5237;Colaborador_5237;2025-02-04;Ativo;Não;Recebimento
5238;Colaborador_5238;2026-03-06;Ativo;Não;Expedição
5239;Colaborador_5239;2025-11-06;Ativo;Sim;Expedição
5240;Colaborador_5240;2025-05-05;Ativo;Não;Expedição
5241;Colaborador_5241;2025-08-06;Ativo;Não;Expedição
5242;Colaborador_5242;2026-03-03;Desligado;Sim;Reverso (DV)
5243;Colaborador_5243;2026-02-04;Ativo;Não;Recebimento
5244;Colaborador_5244;2025-11-17;Ativo;Não;Recebimento
5245;Colaborador_5245;2025-05-12;Ativo;Não;Triagem
5246;Colaborador_5246;2025-03-29;Ativo;Não;Expedição
5247;Colaborador_5247;2025-07-22;Ativo;Não;Reverso (DV)
5248;Colaborador_5248;2025-09-27;Desligado;Não;Recebimento
5249;Colaborador_5249;2025-04-29;Ativo;Não;Triagem
5250;Colaborador_5250;2026-03-02;Ativo;Sim;Triagem
5251;Colaborador_5251;2025-11-21;Ativo;Não;Reverso (DV)
5252;Colaborador_5252;2025-11-19;Ativo;Não;Triagem
5253;Colaborador_5253;2025-03-15;Desligado;Não;Reverso (DV)
5254;Colaborador_5254;2025-12-12;Ativo;Não;Recebimento
5255;Colaborador_5255;2026-02-28;Ativo;Não;Expedição
5256;Colaborador_5256;2025-01-09;Ativo;Não;Expedição
5257;Colaborador_5257;2025-09-03;Ativo;Sim;Triagem
5258;Colaborador_5258;2026-01-15;Ativo;Não;Expedição
5259;Colaborador_5259;2026-03-08;Desligado;Não;Recebimento
5260;Colaborador_5260;2025-11-04;Ativo;Sim;Recebimento
5261;Colaborador_5261;2025-10-10;Desligado;Não;Expedição
5262;Colaborador_5262;2025-04-27;Ativo;Não;Triagem
5263;Colaborador_5263;2025-01-03;Ativo;Não;Reverso (DV)
5264;Colaborador_5264;2025-04-01;Ativo;Não;Triagem
5265;Colaborador_5265;2025-09-06;Ativo;Não;Triagem
5266;Colaborador_5266;2026-01-03;Ativo;Não;Reverso (DV)
5267;Colaborador_5267;2026-01-07;Ativo;Não;Triagem
5268;Colaborador_5268;2025-10-24;Ativo;Não;Recebimento
5269;Colaborador_5269;2025-12-31;Ativo;Não;Triagem
5270;Colaborador_5270;2025-10-20;Ativo;Não;Reverso (DV)
5271;Colaborador_5271;2025-04-23;Desligado;Não;Expedição
5272;Colaborador_5272;2025-04-02;Ativo;Não;Reverso (DV)
5273;Colaborador_5273;2025-07-16;Ativo;Não;Triagem
5274;Colaborador_5274;2025-09-01;Ativo;Não;Reverso (DV)
5275;Colaborador_5275;2025-12-26;Ativo;Não;Expedição
5276;Colaborador_5276;2025-06-25;Ativo;Sim;Expedição
5277;Colaborador_5277;2026-02-11;Desligado;Não;Recebimento
5278;Colaborador_5278;2026-03-09;Desligado;Não;Reverso (DV)
5279;Colaborador_5279;2025-11-20;Ativo;Não;Reverso (DV)
5280;Colaborador_5280;2025-10-11;Desligado;Não;Recebimento
5281;Colaborador_5281;2025-03-11;Ativo;Não;Expedição
5282;Colaborador_5282;2025-05-07;Ativo;Não;Expedição
5283;Colaborador_5283;2025-04-09;Ativo;Não;Triagem
5284;Colaborador_5284;2025-03-10;Ativo;Sim;Recebimento
5285;Colaborador_5285;2025-06-09;Ativo;Não;Triagem
5286;Colaborador_5286;2025-09-07;Desligado;Não;Recebimento
5287;Colaborador_5287;2025-01-13;Ativo;Não;Recebimento
5288;Colaborador_5288;2025-11-22;Ativo;Não;Reverso (DV)
5289;Colaborador_5289;2025-01-12;Ativo;Não;Triagem
5290;Colaborador_5290;2025-08-14;Ativo;Não;Triagem
5291;Colaborador_5291;2026-01-17;Ativo;Não;Expedição
5292;Colaborador_5292;2025-09-01;Ativo;Não;Triagem
5293;Colaborador_5293;2025-06-13;Ativo;Sim;Reverso (DV)
5294;Colaborador_5294;2025-12-09;Ativo;Não;Recebimento
5295;Colaborador_5295;2025-08-15;Ativo;Sim;Reverso (DV)
5296;Colaborador_5296;2025-09-07;Ativo;Não;Reverso (DV)
5297;Colaborador_5297;2025-01-12;Ativo;Não;Triagem
5298;Colaborador_5298;2026-01-26;Ativo;Não;Reverso (DV)
5299;Colaborador_5299;2026-03-16;Ativo;Sim;Reverso (DV)
5300;Colaborador_5300;2025-03-28;Ativo;Não;Triagem
5301;Colaborador_5301;2025-04-15;Ativo;Não;Triagem
5302;Colaborador_5302;2026-01-26;Ativo;Não;Triagem
5303;Colaborador_5303;2025-06-09;Ativo;Não;Expedição
5304;Colaborador_5304;2025-11-26;Ativo;Não;Recebimento
5305;Colaborador_5305;2025-07-16;Ativo;Não;Triagem
5306;Colaborador_5306;2025-03-29;Ativo;Não;Expedição
5307;Colaborador_5307;2026-01-03;Ativo;Não;Triagem
5308;Colaborador_5308;2025-10-08;Desligado;Não;Recebimento
5309;Colaborador_5309;2025-09-18;Desligado;Não;Recebimento
5310;Colaborador_5310;2025-12-11;Ativo;Não;Expedição
5311;Colaborador_5311;2026-01-16;Ativo;Não;Reverso (DV)
5312;Colaborador_5312;2025-12-13;Ativo;Sim;Expedição
5313;Colaborador_5313;2026-03-24;Ativo;Não;Triagem
5314;Colaborador_5314;2025-10-14;Ativo;Não;Expedição
5315;Colaborador_5315;2026-02-19;Ativo;Não;Expedição
5316;Colaborador_5316;2025-05-06;Ativo;Não;Reverso (DV)
5317;Colaborador_5317;2025-01-27;Ativo;Não;Triagem
5318;Colaborador_5318;2025-04-28;Ativo;Não;Expedição
5319;Colaborador_5319;2026-01-29;Ativo;Não;Reverso (DV)
5320;Colaborador_5320;2025-04-23;Ativo;Sim;Reverso (DV)
5321;Colaborador_5321;2026-03-12;Ativo;Não;Reverso (DV)
5322;Colaborador_5322;2025-05-12;Ativo;Não;Triagem
5323;Colaborador_5323;2025-08-04;Ativo;Não;Reverso (DV)
5324;Colaborador_5324;2025-04-08;Desligado;Não;Recebimento
5325;Colaborador_5325;2025-03-08;Ativo;Não;Reverso (DV)
5326;Colaborador_5326;2025-09-22;Ativo;Não;Triagem
5327;Colaborador_5327;2025-06-02;Desligado;Não;Reverso (DV)
5328;Colaborador_5328;2025-04-05;Ativo;Sim;Expedição
5329;Colaborador_5329;2025-05-07;Ativo;Não;Triagem
5330;Colaborador_5330;2026-01-24;Ativo;Não;Triagem
5331;Colaborador_5331;2026-01-26;Ativo;Não;Triagem
5332;Colaborador_5332;2025-04-05;Ativo;Não;Triagem
5333;Colaborador_5333;2025-09-06;Ativo;Não;Reverso (DV)
5334;Colaborador_5334;2025-04-08;Ativo;Não;Expedição
5335;Colaborador_5335;2025-06-07;Desligado;Não;Expedição
5336;Colaborador_5336;2025-12-03;Ativo;Não;Recebimento
5337;Colaborador_5337;2025-11-13;Ativo;Não;Expedição
5338;Colaborador_5338;2025-05-09;Ativo;Sim;Reverso (DV)
5339;Colaborador_5339;2025-05-30;Ativo;Sim;Triagem
5340;Colaborador_5340;2025-11-06;Ativo;Não;Triagem
5341;Colaborador_5341;2025-02-16;Ativo;Não;Recebimento
5342;Colaborador_5342;2026-03-17;Ativo;Não;Expedição
5343;Colaborador_5343;2025-05-23;Ativo;Não;Recebimento
5344;Colaborador_5344;2025-07-08;Ativo;Não;Reverso (DV)
5345;Colaborador_5345;2026-02-10;Desligado;Não;Recebimento
5346;Colaborador_5346;2026-02-08;Ativo;Não;Reverso (DV)
5347;Colaborador_5347;2025-09-16;Ativo;Não;Triagem
5348;Colaborador_5348;2025-07-26;Ativo;Não;Expedição
5349;Colaborador_5349;2025-09-14;Ativo;Não;Expedição
5350;Colaborador_5350;2025-10-18;Ativo;Não;Expedição
5351;Colaborador_5351;2026-02-18;Ativo;Sim;Expedição
5352;Colaborador_5352;2025-06-08;Ativo;Não;Reverso (DV)
5353;Colaborador_5353;2025-03-07;Ativo;Não;Expedição
5354;Colaborador_5354;2026-01-30;Ativo;Não;Triagem
5355;Colaborador_5355;2025-05-30;Ativo;Não;Triagem
5356;Colaborador_5356;2025-08-21;Ativo;Não;Reverso (DV)
5357;Colaborador_5357;2025-02-26;Ativo;Não;Reverso (DV)
5358;Colaborador_5358;2026-03-10;Ativo;Não;Reverso (DV)
5359;Colaborador_5359;2025-12-09;Desligado;Não;Reverso (DV)
5360;Colaborador_5360;2025-01-10;Desligado;Não;Recebimento
5361;Colaborador_5361;2025-07-09;Ativo;Não;Triagem
5362;Colaborador_5362;2025-04-04;Ativo;Não;Reverso (DV)
5363;Colaborador_5363;2025-02-19;Ativo;Não;Recebimento
5364;Colaborador_5364;2026-01-15;Ativo;Sim;Recebimento
5365;Colaborador_5365;2025-07-18;Ativo;Não;Triagem
5366;Colaborador_5366;2025-09-15;Ativo;Não;Reverso (DV)
5367;Colaborador_5367;2025-04-18;Ativo;Não;Reverso (DV)
5368;Colaborador_5368;2025-08-03;Ativo;Não;Reverso (DV)
5369;Colaborador_5369;2025-11-04;Ativo;Não;Expedição
5370;Colaborador_5370;2025-06-30;Ativo;Não;Expedição
5371;Colaborador_5371;2025-09-03;Desligado;Sim;Reverso (DV)
5372;Colaborador_5372;2026-03-04;Desligado;Não;Expedição
5373;Colaborador_5373;2025-08-08;Ativo;Não;Recebimento
5374;Colaborador_5374;2026-01-11;Ativo;Não;Recebimento
5375;Colaborador_5375;2026-03-02;Ativo;Não;Reverso (DV)
5376;Colaborador_5376;2025-02-08;Desligado;Não;Reverso (DV)
5377;Colaborador_5377;2025-08-03;Ativo;Não;Reverso (DV)
5378;Colaborador_5378;2025-06-24;Ativo;Não;Recebimento
5379;Colaborador_5379;2025-06-27;Ativo;Não;Reverso (DV)
5380;Colaborador_5380;2025-12-15;Ativo;Não;Reverso (DV)
5381;Colaborador_5381;2025-12-28;Ativo;Não;Reverso (DV)
5382;Colaborador_5382;2026-03-08;Ativo;Não;Triagem
5383;Colaborador_5383;2025-11-20;Ativo;Não;Recebimento
5384;Colaborador_5384;2025-10-03;Ativo;Não;Triagem
5385;Colaborador_5385;2025-11-10;Ativo;Não;Expedição
5386;Colaborador_5386;2025-10-29;Ativo;Não;Recebimento
5387;Colaborador_5387;2025-06-13;Ativo;Sim;Reverso (DV)
5388;Colaborador_5388;2025-02-03;Ativo;Não;Reverso (DV)
5389;Colaborador_5389;2025-05-02;Desligado;Não;Triagem
5390;Colaborador_5390;2025-06-18;Ativo;Não;Reverso (DV)
5391;Colaborador_5391;2025-09-09;Ativo;Não;Recebimento
5392;Colaborador_5392;2025-05-23;Ativo;Não;Reverso (DV)
5393;Colaborador_5393;2025-07-26;Desligado;Não;Expedição
5394;Colaborador_5394;2026-01-27;Desligado;Não;Expedição
5395;Colaborador_5395;2025-07-24;Desligado;Sim;Recebimento
5396;Colaborador_5396;2025-06-23;Ativo;Não;Reverso (DV)
5397;Colaborador_5397;2025-06-19;Ativo;Não;Expedição
5398;Colaborador_5398;2025-05-03;Ativo;Não;Triagem
5399;Colaborador_5399;2025-09-02;Ativo;Não;Reverso (DV)
5400;Colaborador_5400;2025-02-21;Ativo;Não;Reverso (DV)
5401;Colaborador_5401;2025-07-06;Ativo;Não;Expedição
5402;Colaborador_5402;2025-08-08;Ativo;Não;Triagem
5403;Colaborador_5403;2025-07-16;Desligado;Não;Reverso (DV)
5404;Colaborador_5404;2025-01-15;Ativo;Não;Expedição
5405;Colaborador_5405;2025-10-15;Desligado;Não;Expedição
5406;Colaborador_5406;2025-08-17;Desligado;Sim;Recebimento
5407;Colaborador_5407;2025-03-10;Ativo;Não;Triagem
5408;Colaborador_5408;2026-03-15;Desligado;Sim;Reverso (DV)
5409;Colaborador_5409;2026-02-05;Ativo;Não;Reverso (DV)
5410;Colaborador_5410;2025-12-12;Desligado;Não;Recebimento
5411;Colaborador_5411;2026-03-17;Ativo;Não;Expedição
5412;Colaborador_5412;2026-02-19;Ativo;Não;Expedição
5413;Colaborador_5413;2025-11-26;Ativo;Não;Reverso (DV)
5414;Colaborador_5414;2025-01-19;Desligado;Não;Recebimento
5415;Colaborador_5415;2026-02-06;Ativo;Sim;Expedição
